name,arm,solved,aut_assisted,nodes_explored,budget,cap
ac19_10317,s40_gen,0,1,6,1000,255
ac19_10318,s40_gen,1,0,3,1000,255
ac19_10319,s40_gen,0,1,7,1000,255
ac19_1032,s40_gen,0,1,6,1000,255
ac19_10320,s40_gen,0,1,13,1000,255
ac19_10321,s40_gen,0,1,13,1000,255
ac19_10322,s40_gen,0,1,17,1000,255
ac19_10323,s40_gen,1,0,9,1000,255
ac19_10324,s40_gen,0,1,136,1000,255
ac19_10325,s40_gen,1,0,10,1000,255
ac19_10326,s40_gen,0,1,5,1000,255
ac19_10327,s40_gen,0,1,217,1000,255
ac19_10328,s40_gen,0,1,33,1000,255
ac19_10329,s40_gen,0,1,43,1000,255
ac19_1033,s40_gen,0,1,11,1000,255
ac19_10330,s40_gen,0,1,11,1000,255
ac19_10331,s40_gen,0,1,10,1000,255
ac19_10332,s40_gen,0,1,9,1000,255
ac19_10333,s40_gen,1,0,9,1000,255
ac19_10334,s40_gen,0,1,61,1000,255
ac19_10335,s40_gen,1,0,5,1000,255
ac19_10336,s40_gen,0,1,10,1000,255
ac19_10337,s40_gen,1,0,7,1000,255
ac19_10338,s40_gen,1,0,4,1000,255
ac19_10339,s40_gen,0,1,18,1000,255
ac19_1034,s40_gen,1,0,7,1000,255
ac19_10340,s40_gen,0,1,13,1000,255
ac19_10341,s40_gen,0,1,29,1000,255
ac19_10342,s40_gen,0,1,7,1000,255
ac19_10343,s40_gen,0,1,6,1000,255
ac19_10344,s40_gen,0,1,9,1000,255
ac19_10345,s40_gen,0,1,21,1000,255
ac19_10346,s40_gen,0,1,177,1000,255
ac19_10347,s40_gen,0,1,24,1000,255
ac19_10348,s40_gen,0,1,14,1000,255
ac19_10349,s40_gen,0,1,7,1000,255
ac19_1035,s40_gen,0,1,9,1000,255
ac19_10350,s40_gen,1,0,12,1000,255
ac19_10351,s40_gen,0,1,65,1000,255
ac19_10352,s40_gen,0,1,198,1000,255
ac19_10353,s40_gen,1,0,7,1000,255
ac19_10354,s40_gen,1,0,4,1000,255
ac19_10355,s40_gen,0,1,23,1000,255
ac19_10356,s40_gen,1,0,3,1000,255
ac19_10357,s40_gen,1,0,7,1000,255
ac19_10358,s40_gen,0,1,79,1000,255
ac19_10359,s40_gen,0,1,7,1000,255
ac19_1036,s40_gen,0,1,607,1000,255
ac19_10360,s40_gen,1,0,5,1000,255
ac19_10361,s40_gen,0,1,8,1000,255
ac19_10362,s40_gen,0,1,445,1000,255
ac19_10363,s40_gen,0,1,11,1000,255
ac19_10364,s40_gen,0,1,17,1000,255
ac19_10365,s40_gen,1,0,12,1000,255
ac19_10366,s40_gen,1,0,8,1000,255
ac19_10367,s40_gen,0,1,21,1000,255
ac19_10368,s40_gen,0,1,15,1000,255
ac19_10369,s40_gen,0,1,118,1000,255
ac19_1037,s40_gen,0,1,15,1000,255
ac19_10370,s40_gen,1,0,9,1000,255
ac19_10371,s40_gen,0,1,27,1000,255
ac19_10372,s40_gen,1,0,13,1000,255
ac19_10373,s40_gen,0,1,6,1000,255
ac19_10374,s40_gen,0,1,10,1000,255
ac19_10375,s40_gen,0,1,17,1000,255
ac19_10376,s40_gen,0,1,19,1000,255
ac19_10377,s40_gen,1,0,10,1000,255
ac19_10378,s40_gen,0,1,7,1000,255
ac19_10379,s40_gen,0,0,1000,1000,255
ac19_1038,s40_gen,0,1,61,1000,255
ac19_10380,s40_gen,0,1,15,1000,255
ac19_10381,s40_gen,0,1,40,1000,255
ac19_10382,s40_gen,0,1,7,1000,255
ac19_10383,s40_gen,0,1,224,1000,255
ac19_10384,s40_gen,0,1,92,1000,255
ac19_10385,s40_gen,1,0,8,1000,255
ac19_10386,s40_gen,0,1,13,1000,255
ac19_10387,s40_gen,1,0,7,1000,255
ac19_10388,s40_gen,0,1,33,1000,255
ac19_10389,s40_gen,0,1,12,1000,255
ac19_1039,s40_gen,0,1,29,1000,255
ac19_10390,s40_gen,0,1,10,1000,255
ac19_10391,s40_gen,0,1,7,1000,255
ac19_10392,s40_gen,0,1,38,1000,255
ac19_10393,s40_gen,0,1,10,1000,255
ac19_10394,s40_gen,1,0,6,1000,255
ac19_10395,s40_gen,1,0,8,1000,255
ac19_10396,s40_gen,0,1,212,1000,255
ac19_10397,s40_gen,0,1,29,1000,255
ac19_10398,s40_gen,0,1,9,1000,255
ac19_10399,s40_gen,1,0,6,1000,255
ac19_104,s40_gen,0,1,28,1000,255
ac19_1040,s40_gen,0,1,14,1000,255
ac19_10400,s40_gen,0,1,571,1000,255
ac19_10401,s40_gen,0,1,186,1000,255
ac19_10402,s40_gen,1,0,9,1000,255
ac19_10403,s40_gen,0,1,20,1000,255
ac19_10404,s40_gen,0,1,26,1000,255
ac19_10405,s40_gen,0,1,14,1000,255
ac19_10406,s40_gen,1,0,5,1000,255
ac19_10407,s40_gen,1,0,4,1000,255
ac19_10408,s40_gen,0,1,13,1000,255
ac19_10409,s40_gen,0,1,20,1000,255
ac19_1041,s40_gen,0,1,10,1000,255
ac19_10410,s40_gen,0,1,12,1000,255
ac19_10411,s40_gen,0,1,13,1000,255
ac19_10412,s40_gen,0,1,11,1000,255
ac19_10413,s40_gen,0,1,46,1000,255
ac19_10414,s40_gen,0,1,28,1000,255
ac19_10415,s40_gen,0,1,9,1000,255
ac19_10416,s40_gen,0,1,44,1000,255
ac19_10417,s40_gen,0,1,11,1000,255
ac19_10418,s40_gen,1,0,10,1000,255
ac19_10419,s40_gen,0,1,10,1000,255
ac19_1042,s40_gen,1,0,14,1000,255
ac19_10420,s40_gen,0,1,10,1000,255
ac19_10421,s40_gen,0,1,8,1000,255
ac19_10422,s40_gen,1,0,7,1000,255
ac19_10423,s40_gen,0,1,20,1000,255
ac19_10424,s40_gen,0,1,15,1000,255
ac19_10425,s40_gen,0,1,14,1000,255
ac19_10426,s40_gen,0,1,9,1000,255
ac19_10427,s40_gen,0,1,380,1000,255
ac19_10428,s40_gen,1,0,7,1000,255
ac19_10429,s40_gen,0,1,11,1000,255
ac19_1043,s40_gen,0,1,12,1000,255
ac19_10430,s40_gen,0,1,12,1000,255
ac19_10431,s40_gen,0,1,20,1000,255
ac19_10432,s40_gen,0,1,17,1000,255
ac19_10433,s40_gen,0,1,6,1000,255
ac19_10434,s40_gen,0,1,15,1000,255
ac19_10435,s40_gen,0,1,12,1000,255
ac19_10436,s40_gen,0,1,15,1000,255
ac19_10437,s40_gen,0,1,313,1000,255
ac19_10438,s40_gen,0,1,38,1000,255
ac19_10439,s40_gen,0,1,11,1000,255
ac19_1044,s40_gen,0,1,41,1000,255
ac19_10440,s40_gen,0,1,383,1000,255
ac19_10441,s40_gen,1,0,5,1000,255
ac19_10442,s40_gen,0,1,519,1000,255
ac19_10443,s40_gen,0,1,24,1000,255
ac19_10444,s40_gen,0,0,1000,1000,255
ac19_10445,s40_gen,0,1,328,1000,255
ac19_10446,s40_gen,0,1,16,1000,255
ac19_10447,s40_gen,0,1,37,1000,255
ac19_10448,s40_gen,1,0,10,1000,255
ac19_10449,s40_gen,1,0,5,1000,255
ac19_1045,s40_gen,1,0,22,1000,255
ac19_10450,s40_gen,0,1,6,1000,255
ac19_10451,s40_gen,0,1,9,1000,255
ac19_10452,s40_gen,0,1,41,1000,255
ac19_10453,s40_gen,1,0,11,1000,255
ac19_10454,s40_gen,0,1,12,1000,255
ac19_10455,s40_gen,0,1,9,1000,255
ac19_10456,s40_gen,1,0,8,1000,255
ac19_10457,s40_gen,0,0,1000,1000,255
ac19_10458,s40_gen,1,0,9,1000,255
ac19_10459,s40_gen,1,0,10,1000,255
ac19_1046,s40_gen,1,0,5,1000,255
ac19_10460,s40_gen,0,1,136,1000,255
ac19_10461,s40_gen,0,1,9,1000,255
ac19_10462,s40_gen,0,1,30,1000,255
ac19_10463,s40_gen,0,1,28,1000,255
ac19_10464,s40_gen,0,1,78,1000,255
ac19_10465,s40_gen,0,1,21,1000,255
ac19_10466,s40_gen,1,0,5,1000,255
ac19_10467,s40_gen,0,1,86,1000,255
ac19_10468,s40_gen,0,1,9,1000,255
ac19_10469,s40_gen,0,1,430,1000,255
ac19_1047,s40_gen,0,1,61,1000,255
ac19_10470,s40_gen,0,1,101,1000,255
ac19_10471,s40_gen,1,0,8,1000,255
ac19_10472,s40_gen,0,1,6,1000,255
ac19_10473,s40_gen,0,1,17,1000,255
ac19_10474,s40_gen,0,1,54,1000,255
ac19_10475,s40_gen,1,0,9,1000,255
ac19_10476,s40_gen,0,1,21,1000,255
ac19_10477,s40_gen,0,1,41,1000,255
ac19_10478,s40_gen,1,0,6,1000,255
ac19_10479,s40_gen,1,0,9,1000,255
ac19_1048,s40_gen,0,1,8,1000,255
ac19_10480,s40_gen,0,1,50,1000,255
ac19_10481,s40_gen,0,1,15,1000,255
ac19_10482,s40_gen,1,0,4,1000,255
ac19_10483,s40_gen,0,1,126,1000,255
ac19_10484,s40_gen,0,1,6,1000,255
ac19_10485,s40_gen,0,1,10,1000,255
ac19_10486,s40_gen,0,1,35,1000,255
ac19_10487,s40_gen,0,1,89,1000,255
ac19_10488,s40_gen,1,0,9,1000,255
ac19_10489,s40_gen,0,1,11,1000,255
ac19_1049,s40_gen,0,1,17,1000,255
ac19_10490,s40_gen,0,1,55,1000,255
ac19_10491,s40_gen,0,1,14,1000,255
ac19_10492,s40_gen,0,1,295,1000,255
ac19_10493,s40_gen,0,1,28,1000,255
ac19_10494,s40_gen,0,1,11,1000,255
ac19_10495,s40_gen,0,1,19,1000,255
ac19_10496,s40_gen,0,1,38,1000,255
ac19_10497,s40_gen,0,1,9,1000,255
ac19_10498,s40_gen,0,1,396,1000,255
ac19_10499,s40_gen,0,1,142,1000,255
ac19_105,s40_gen,0,1,395,1000,255
ac19_1050,s40_gen,0,1,223,1000,255
ac19_10500,s40_gen,0,1,6,1000,255
ac19_10501,s40_gen,0,1,11,1000,255
ac19_10502,s40_gen,0,1,73,1000,255
ac19_10503,s40_gen,0,1,88,1000,255
ac19_10504,s40_gen,1,0,8,1000,255
ac19_10505,s40_gen,0,1,23,1000,255
ac19_10506,s40_gen,1,0,5,1000,255
ac19_10507,s40_gen,0,1,40,1000,255
ac19_10508,s40_gen,0,1,7,1000,255
ac19_10509,s40_gen,0,1,8,1000,255
ac19_1051,s40_gen,0,1,11,1000,255
ac19_10510,s40_gen,0,1,113,1000,255
ac19_10511,s40_gen,0,1,16,1000,255
ac19_10512,s40_gen,1,0,11,1000,255
ac19_10513,s40_gen,0,1,11,1000,255
ac19_10514,s40_gen,1,0,10,1000,255
ac19_10515,s40_gen,0,1,10,1000,255
ac19_10516,s40_gen,1,0,19,1000,255
