representation,preproc,metric,algorithm,k,ari,nmi,bal_acc
knots+ring,z,cosine,complete,3,0.24668122680113927,0.26481583454076074,0.7836032726665554
ring_dual,z,cosine,average,3,0.24668122680113927,0.26481583454076074,0.7836032726665554
ring_dual,z,correlation,average,3,0.24668122680113927,0.2648158345407607,0.7836032726665554
knots+ring,z,cosine,ward,3,0.24655341865516103,0.2449008947506157,0.7797628986475205
knots+ring,z,cosine,average,3,0.24655341865516103,0.2449008947506157,0.7797628986475205
knots+ring,z,correlation,ward,3,0.24655341865516103,0.2449008947506157,0.7797628986475205
knots+ring,z,correlation,average,3,0.24655341865516103,0.2449008947506157,0.7797628986475205
knots+ring,z,correlation,complete,3,0.24655341865516103,0.2449008947506157,0.7797628986475205
knots+ring,z+pca10,correlation,ward,3,0.24655341865516103,0.2449008947506157,0.7797628986475205
knots+ring,z+pca10,correlation,complete,3,0.24655341865516103,0.24490089475061574,0.7797628986475205
ring_dual,z+pca10,cosine,average,3,0.24655341865516103,0.2449008947506157,0.7797628986475205
ring_dual,z+pca10,correlation,ward,3,0.24655341865516103,0.2449008947506157,0.7797628986475205
ring+whitehead+syll,z+pca10,euclidean,ward,3,0.24655341865516103,0.24490089475061574,0.7797628986475205
ring+whitehead+syll,z+pca10,cosine,ward,3,0.24655341865516103,0.2449008947506157,0.7797628986475205
ring+whitehead+syll,z+pca10,cosine,average,3,0.24655341865516103,0.2449008947506157,0.7797628986475205
ring+whitehead+syll,z+pca10,correlation,ward,3,0.24655341865516103,0.2449008947506157,0.7797628986475205
ring+whitehead+syll,z+pca10,correlation,average,3,0.24655341865516103,0.24490089475061574,0.7797628986475205
ring_autocorr,z,euclidean,kmeans,3,0.24650674773124548,0.21480215883843515,0.7746423999554739
ring_autocorr,z,cosine,kmeans,3,0.24650674773124548,0.21480215883843515,0.7746423999554739
ring_autocorr,z,correlation,kmeans,3,0.24650674773124548,0.21480215883843515,0.7746423999554739
ring_dual,z-length,correlation,spectral,3,0.246389293610204,0.19548538533316126,0.7745310847665163
ring+whitehead+syll,z-length,correlation,spectral,3,0.246389293610204,0.19548538533316126,0.7745310847665163
ring_dual_permsym,z,cosine,spectral,2,0.24631881434607059,0.17620379133797776,0.7375187844381366
ring_dual_permsym,z+pca10,cosine,spectral,2,0.24631881434607059,0.17620379133797776,0.7375187844381366
knots+ring,z+pca10,cosine,average,3,0.24607832275467917,0.22699000757744828,0.7720821506094506
knots+ring,z+pca10,correlation,average,3,0.24607832275467917,0.22699000757744828,0.7720821506094506
ring_dual,z+pca10,correlation,average,3,0.24607832275467917,0.22699000757744828,0.7720821506094506
knots+ring,z+pca10,euclidean,complete,2,0.24604828226238132,0.2867057801524975,0.7797628986475205
knots+ring,z+pca10,correlation,complete,2,0.24604828226238132,0.2867057801524975,0.7797628986475205
ring_dual_permsym,z+pca10,correlation,spectral,2,0.24604828226238132,0.1757278585495771,0.7349585350921133
ring+whitehead+syll,z+pca10,euclidean,ward,2,0.24604828226238132,0.2867057801524975,0.7797628986475205
ring+whitehead+syll,z+pca10,correlation,average,2,0.24604828226238132,0.2867057801524975,0.7797628986475205
ring+whitehead+syll,z,euclidean,complete,6,0.24593591030773412,0.21675110120982605,0.7872210163076752
ring_autocorr,z+pca10,cosine,average,3,0.24586894844596313,0.20839315848570145,0.7676573718483887
kmer3,z+pca10,cosine,ward,3,0.24521226624908707,0.20380064230562214,0.7688261813324428
kmer3,z+pca10,cosine,average,3,0.24521226624908707,0.20380064230562214,0.7688261813324428
kmer3,z+pca10,correlation,average,3,0.24521226624908707,0.20380064230562214,0.7688261813324428
kmer23,z+pca10,correlation,average,3,0.24521226624908707,0.20380064230562214,0.7688261813324428
kmer4,z+pca10,cosine,average,3,0.24517767270341367,0.19848011824474254,0.7675460566594312
ring_dual,z+pca10,correlation,spectral,3,0.2445304365897445,0.24153841763023434,0.7797628986475205
all,z,euclidean,kmeans,3,0.2440540791907712,0.20401973419064057,0.7682417765904157
all,z,cosine,kmeans,3,0.2440540791907712,0.20401973419064057,0.7682417765904157
all,z,correlation,kmeans,3,0.2440540791907712,0.20401973419064057,0.7682417765904157
all,z+pca10,euclidean,kmeans,3,0.2440540791907712,0.20401973419064057,0.7682417765904157
all,z+pca10,cosine,kmeans,3,0.2440540791907712,0.20401973419064057,0.7682417765904157
all,z+pca10,correlation,kmeans,3,0.2440540791907712,0.20401973419064057,0.7682417765904157
ring+whitehead+syll,z,cosine,average,5,0.24386300054402926,0.24704830317258142,0.7393833138531754
ring+whitehead+syll,z,correlation,average,5,0.24386300054402926,0.24704830317258142,0.7393833138531754
kmer2,z,cosine,ward,3,0.242428620707647,0.20466178122200035,0.7739466800244893
ring_autocorr,z,euclidean,complete,4,0.24236123386880026,0.2396409523088053,0.7720821506094506
all,z+pca10,correlation,average,4,0.24185189624054731,0.19765321896289492,0.7635943674514387
knots+ring,z,euclidean,complete,6,0.24168434924783988,0.22152923718424802,0.7703567651806089
ring_dual_sym,z-length,cosine,ward,4,0.24068152814240593,0.19270421840393023,0.7638169978293539
ring_spectrum,z-length,euclidean,dbscan_q5,11,0.240351862441482,0.2333759921911189,0.7912005343129069
knots+ring,z+pca10,euclidean,average,3,0.23977377159965504,0.2732366179743571,0.6946902654867256
ring_dual,z+pca10,euclidean,average,3,0.23977377159965504,0.2732366179743571,0.6946902654867256
kmer3,z,cosine,complete,2,0.23971262874158653,0.21825901371985035,0.7638169978293539
kmer3,z,correlation,complete,2,0.23971262874158653,0.21825901371985035,0.7638169978293539
kmer23,z,cosine,complete,2,0.23971262874158653,0.21825901371985035,0.7638169978293539
kmer23,z,correlation,complete,2,0.23971262874158653,0.21825901371985035,0.7638169978293539
all,z,euclidean,ward,2,0.23971262874158653,0.21825901371985035,0.7638169978293539
all,z+pca10,correlation,average,2,0.23971262874158653,0.21825901371985035,0.7638169978293539
ring+whitehead+syll,z-length,euclidean,spectral,3,0.23971032285465396,0.19540152532731847,0.7739466800244893
ring+whitehead+syll,z-length,euclidean,ward,3,0.23953413527466164,0.19120222797187736,0.7713864306784661
ring_autocorr,z+pca10,cosine,ward,2,0.2394771766956058,0.23246429042365743,0.7676573718483887
ring_autocorr,z+pca10,cosine,average,2,0.2394771766956058,0.23246429042365743,0.7676573718483887
ring_autocorr,z+pca10,cosine,complete,2,0.2394771766956058,0.23246429042365743,0.7676573718483887
all,z-length,cosine,spectral,3,0.23944601085917358,0.18801020896325138,0.7701063060054545
all,z-length,correlation,spectral,3,0.23944601085917358,0.18801020896325138,0.7701063060054545
all,z+pca10,correlation,ward,3,0.23895454712967426,0.19805030318159983,0.7638169978293539
ring_dual_permsym,z,euclidean,spectral,2,0.23891894496810778,0.1702382348772062,0.7330940056770747
ring_dual_permsym,z+pca10,euclidean,spectral,2,0.23891894496810778,0.1702382348772062,0.7330940056770747
knots,z,correlation,complete,3,0.2388901517825616,0.1770038167438583,0.7637056826403963
kmer4,z+pca10,correlation,spectral,3,0.23860983934909735,0.20098554506920505,0.7695219012634273
ring_dual_sym,z-length,cosine,ward,3,0.23855237010055486,0.2177855231255954,0.7638169978293539
kmer4,z+pca10,euclidean,kmeans,3,0.23850519660486835,0.19929780522122426,0.7682417765904157
kmer4,z+pca10,cosine,kmeans,3,0.23850519660486835,0.19929780522122426,0.7682417765904157
kmer4,z+pca10,correlation,kmeans,3,0.23850519660486835,0.19929780522122426,0.7682417765904157
kmer4,z+pca10,correlation,complete,3,0.23850519660486835,0.19929780522122428,0.7682417765904157
ring_dual_sym,z,correlation,spectral,3,0.23739019661625724,0.2264525309195541,0.7740579952134469
knots+ring,z+pca10,euclidean,complete,3,0.23725933208312272,0.2376896462843663,0.7797628986475205
ring+whitehead+syll,z,cosine,complete,4,0.23613403332013308,0.22647048215819926,0.7675460566594312
knots+ring,z,euclidean,spectral,4,0.235364014086195,0.22620314107788833,0.7214615684310124
knots+ring,z+pca10,euclidean,spectral,4,0.23532297309862613,0.2212128756438726,0.7201814437580007
