name,archival_initial_length,saved_rank2_length,previous_any_rank_length,best_any_rank_length,best_rank,new_gain,rank_reduction,solved,best_words,certificate_kind,witness_pointer
aca_13,16,16,15,15,3,0,0,False,"(XYXYz, XZxzy, Xyzyy)",theorem_backed_stable_prefix,../theory_patterns_20260912/u124_final_table.json#/rows/13
aca_14,15,15,15,15,2,0,0,False,"(YXXyXyx, YYYXyyxx)",identity_at_saved_start,../theory_patterns_20260912/u124_final_table.json#/rows/14
aca_15,17,17,17,17,2,0,0,False,"(YXXyXyxx, YYYYxyyyX)",identity_at_saved_start,../theory_patterns_20260912/u124_final_table.json#/rows/15
aca_16,17,17,15,15,3,0,0,False,"(ZXYx, XXZxYY, YZxyz)",theorem_backed_stable_prefix,../theory_patterns_20260912/u124_final_table.json#/rows/16
aca_17,17,17,17,17,2,0,0,False,"(YXXXYxYx, YYYYXyyyx)",identity_at_saved_start,../theory_patterns_20260912/u124_final_table.json#/rows/17
aca_18,17,17,17,17,2,0,0,False,"(YXXXyxYx, YYYYxyyyX)",identity_at_saved_start,../theory_patterns_20260912/u124_final_table.json#/rows/18
aca_19,17,17,17,17,2,0,0,False,"(YXyXYxxx, YYYYXyyyx)",identity_at_saved_start,../theory_patterns_20260912/u124_final_table.json#/rows/19
aca_20,17,17,17,17,2,0,0,False,"(YXXXyxYx, YYYYXyyyx)",identity_at_saved_start,../theory_patterns_20260912/u124_final_table.json#/rows/20
aca_21,17,17,17,17,2,0,0,False,"(YXXYxxyX, YYYYxyyyX)",identity_at_saved_start,../theory_patterns_20260912/u124_final_table.json#/rows/21
aca_22,17,17,17,17,2,0,0,False,"(YXXYxxyx, YYYYxyyyX)",identity_at_saved_start,../theory_patterns_20260912/u124_final_table.json#/rows/22
aca_23,17,17,17,17,2,0,0,False,"(YXXYxxyx, YYYYXyyyx)",identity_at_saved_start,../theory_patterns_20260912/u124_final_table.json#/rows/23
aca_24,17,17,15,15,3,0,0,False,"(XXZYY, XXyxZ, XYzYZ)",theorem_backed_stable_prefix,../theory_patterns_20260912/u124_final_table.json#/rows/24
aca_25,17,17,17,17,2,0,0,False,"(YXXYxxyX, YYYYXyyyx)",identity_at_saved_start,../theory_patterns_20260912/u124_final_table.json#/rows/25
aca_26,17,17,17,17,2,0,0,False,"(YXXYxYxx, YYYYxyyyX)",identity_at_saved_start,../theory_patterns_20260912/u124_final_table.json#/rows/26
aca_27,17,17,17,17,2,0,0,False,"(YXXyXyxx, YYYYXyyyx)",identity_at_saved_start,../theory_patterns_20260912/u124_final_table.json#/rows/27
aca_28,17,17,17,17,2,0,0,False,"(YXXYxYxx, YYYYXyyyx)",identity_at_saved_start,../theory_patterns_20260912/u124_final_table.json#/rows/28
aca_29,17,17,17,17,2,0,0,False,"(YYXXXyx, YYxxyxyXyX)",identity_at_saved_start,../theory_patterns_20260912/u124_final_table.json#/rows/29
aca_30,17,17,17,16,3,1,0,False,"(UUZuXXz, UXZ, UxZxZX)",theorem_backed_stable_composite,observed_remainder.json#/rows/29/best_witness
aca_31,17,17,17,16,3,1,0,False,"(UUZXuZx, UXZ, UxZZXX)",theorem_backed_stable_composite,observed_remainder.json#/rows/30/best_witness
aca_32,17,17,16,16,3,0,0,False,"(ZXY, XzxxZY, XZZYYYY)",theorem_backed_stable_prefix,../theory_patterns_20260912/u124_final_table.json#/rows/32
aca_33,17,17,16,16,3,0,0,False,"(ZXy, XXzxZY, YYzzxyx)",theorem_backed_stable_prefix,../theory_patterns_20260912/u124_final_table.json#/rows/33
aca_34,18,16,16,16,2,0,0,False,"(YXXyxYx, YYYYXyyxx)",identity_at_saved_start,../theory_patterns_20260912/u124_final_table.json#/rows/34
aca_35,18,18,18,18,2,0,0,False,"(YYXXXyx, YYYxxyxyXyX)",identity_at_saved_start,../theory_patterns_20260912/u124_final_table.json#/rows/35
