pres_id,bin,r1,r2,start_length,aut_class,greedy_solved,greedy_nodes,greedy_path,n_cov_tried,n_cov_solved,cov_solved,best_z,best_iso_gen,best_class,cov_nodes,cov_path,cov_min_path,node_cut,path_cut,flip
578,7,YYYYYYXyyyyyx,YYXYYXyx,21,93,False,10000,,115,30,True,XYxy,x,relabel,3181,42,42,,,True
583,7,YYYYYYXyyyyyx,YYXyxYYx,21,93,False,10000,,116,30,True,XYxy,x,relabel,3320,39,39,,,True
628,7,YYYYYYYYXyyyyyyyx,YYXyXyyx,25,110,False,10000,,173,83,True,YYYYYYYxyyyyyyy,y,relabel,158,51,48,,,True
633,7,YYYYYYYYXyyyyyyyx,YYXyyxyx,25,110,False,10000,,173,89,True,XYYxyy,y,relabel,158,51,48,,,True
596,7,YYYYYYYXyyyyyyx,YYxyXYx,22,97,False,10000,,138,51,True,xYXy,x,relabel,3353,231,231,,,True
605,8,YYYYYYYXyyyyyyx,YYYXyxYX,23,97,False,10000,,142,55,True,YYYxyyyyyyy,x,relabel,3353,231,231,,,True
610,8,YYYYYYYXyyyyyyx,YYYxYXyx,23,97,False,10000,,141,54,True,XYxy,x,relabel,3359,225,225,,,True
625,8,YYYYYYYYXyyyyyyyx,YYXYxyX,24,106,False,10000,,169,0,False,,,,,,,,,False
622,8,YYYYYYYYXyyyyyyyx,YYxyXYx,24,106,False,10000,,169,0,False,,,,,,,,,False
624,8,YYYYYYYYXyyyyyyyx,YYxYXyx,24,106,False,10000,,169,0,False,,,,,,,,,False
623,8,YYYYYYYYXyyyyyyyx,YYXyxYX,24,106,False,10000,,169,0,False,,,,,,,,,False
634,9,YYYYYYYXyyyyyyx,YYYXyyxx,23,108,False,10000,,138,55,True,YYxyy,y,moved,410,38,38,,,True
635,9,YYYYYYYXyyyyyyx,YYYXXyyx,23,108,False,10000,,134,54,True,yyxYY,y,moved,410,38,38,,,True
637,9,YYYYYYYYXyyyyyyyx,YYYXyxYX,25,106,False,10000,,173,0,False,,,,,,,,,False
639,9,YYYYYYYYXyyyyyyyx,YYYxYXyx,25,106,False,10000,,172,0,False,,,,,,,,,False
638,9,YYYYYYYYXyyyyyyyx,YYYxyXYx,25,106,False,10000,,173,0,False,,,,,,,,,False
636,9,YYYYYYYYXyyyyyyyx,YYYXYxyX,25,106,False,10000,,172,0,False,,,,,,,,,False
