name,r1,r2,n_members,members,failed_arms,n_failed_arms,in_complete_10k,missing_arms_10k,baseline_solved,baseline_nodes,baseline_minL,s20_mk2_solved,s20_mk2_nodes,s20_mk2_minL,s20_mk2_mK2_solved,s20_mk2_mK2_nodes,s20_mk2_mK2_minL,s20_f4_solved,s20_f4_nodes,s20_f4_minL
ac19_18844,YYXXXyX,YXyXXYxxxyx,10,24941 33610 58105 71157 77784 93780 114096 119109 146446 149540,"baseline,s20_f4",2,true,,false,10000,15,true,2872,2,true,3944,2,false,10000,15
ac19_18936,YYXXXXXyX,YXXXXXXyxxxxx,4,25082 69042 71173 123807,baseline,1,true,,false,10000,16,true,3194,2,true,869,2,true,3059,2
ac19_18993,YYXXyXyyx,YYxxYxxyx,1,25181,s20_f4,1,true,,true,5139,2,true,3318,2,true,3218,2,false,10000,17
ac19_19026,YYXXXyx,YXyxxxYXXyx,3,25239 25829 75964,"baseline,s20_f4",2,true,,false,10000,15,true,2277,2,true,6538,2,false,10000,15
ac19_19132,YXYxyXXyx,YYYXyyxYXyx,3,25395 69117 103775,baseline,1,false,s20_f4,false,10000,15,true,1392,2,true,2585,2,missing,,
ac19_19144,YYXXYXXyX,YYxxyXXXX,5,25409 55668 68517 107161 128546,"baseline,s20_f4",2,true,,false,10000,17,true,4758,2,true,2855,2,false,10000,18
ac19_19163,YYXXyxx,YYYxYXYX,8,25438 41144 82116 142137 144506 145739 148855 149021,s20_f4,1,true,,true,5132,2,true,644,2,true,475,2,false,10000,14
ac19_19168,YYXXXYxx,YYYYYXYYX,1,25450,"baseline,s20_mk2_mK2",2,true,,false,10000,17,true,1335,2,false,10000,17,true,1633,2
ac19_19190,YYYXXXyxx,YYYXXYxxyXX,1,25481,s20_f4,1,true,,true,492,2,true,739,2,true,677,2,false,10000,19
ac19_1926,YXyXXXyX,YYXXXyXyxyXXX,1,2535,baseline,1,true,,false,10000,19,true,691,2,true,1426,2,true,8216,2
ac19_19313,YYXXyxx,YYXXYxYxyx,3,25678 59920 156525,"baseline,s20_f4",2,true,,false,10000,14,true,2810,2,true,5568,2,false,10000,14
ac19_19388,YXXyXyxx,YYxxyXYYxxx,2,25797 120675,s20_mk2_mK2,1,true,,true,5701,2,true,2011,2,false,10000,17,true,1635,2
ac19_19439,YXyXYxx,YYYYXyxYXyxx,1,25880,baseline,1,true,,false,10000,12,true,1038,2,true,2162,2,true,1239,2
ac19_19493,YYXXXyx,YYxxYXXyyX,1,25965,s20_f4,1,true,,true,1972,2,true,1585,2,true,1921,2,false,10000,14
ac19_19503,YXXYx,YYYXyxYXyyxyyx,2,25981 136910,"baseline,s20_mk2_mK2,s20_f4",3,true,,false,10000,18,true,7183,2,false,10000,18,false,10000,18
ac19_19552,YYXXyxxyX,YXXyxYxxxx,1,26051,baseline,1,true,,false,10000,15,true,1725,2,true,3876,2,true,4452,2
ac19_19674,YXXyXyxx,YYxyXYxyx,3,26250 39986 68546,"baseline,s20_mk2_mK2",2,true,,false,10000,17,true,2852,2,false,10000,14,true,6126,2
ac19_19700,YXYxxyXyx,YYXXyXyyxx,1,26288,baseline,1,true,,false,10000,15,true,1725,2,true,3876,2,true,2864,2
ac19_19775,YYXXXyX,YXXyXYxxxyXYxxxyX,1,26408,baseline,1,true,,false,10000,17,true,1882,2,true,4083,2,true,3223,2
ac19_19782,YXyXXYXyXXyX,YYYXyXYXyXXyyyX,1,26418,s20_f4,1,true,,true,1425,2,true,585,2,true,644,2,false,10000,18
ac19_1997,YXXyXyx,YYYxxYxxyx,3,2607 65132 83341,"baseline,s20_mk2_mK2,s20_f4",3,true,,false,10000,14,true,3205,2,false,10000,14,false,10000,14
ac19_19996,YXXyXyX,YYYXXXyxyxyxx,1,26735,"baseline,s20_mk2,s20_f4",3,true,,false,10000,16,false,10000,14,true,6381,2,false,10000,16
ac19_20011,YYXXXYxxYxx,YYXXXXyxxxx,2,26759 93970,s20_f4,1,true,,true,609,2,true,1429,2,true,1282,2,false,10000,14
ac19_20023,YXYXXYx,YYXyyxxyXyx,4,26777 73203 88398 113950,s20_f4,1,true,,true,1954,2,true,1570,2,true,1861,2,false,10000,14
ac19_20037,YXYXXYx,YYYxYXyyX,3,26797 116782 118780,s20_f4,1,true,,true,1954,2,true,1570,2,true,1863,2,false,10000,14
ac19_20050,YYXXXYx,YYXYYXYXXyx,2,26818 42278,"baseline,s20_mk2,s20_mk2_mK2,s20_f4",4,true,,false,10000,16,false,10000,15,false,10000,16,false,10000,16
ac19_20055,YYXXXXXXXXyx,YXXXXXXyxxxxx,6,26828 76912 110341 125064 127603 134070,baseline,1,true,,false,10000,16,true,1763,2,true,4074,2,true,9003,2
ac19_20118,YXyXXXyx,YYxyxyXXYxxyXXX,1,26930,"baseline,s20_mk2,s20_mk2_mK2,s20_f4",4,true,,false,10000,19,false,10000,17,false,10000,17,false,10000,17
ac19_20125,YXyXXXyx,YYXXyXXYxxyXyyx,1,26943,"baseline,s20_mk2,s20_mk2_mK2,s20_f4",4,true,,false,10000,17,false,10000,17,false,10000,17,false,10000,17
ac19_20172,YYXXXyX,YXYXyXXX,12,27019 42592 55413 73900 78355 95588 103262 106318 120119 124500 137066 138911,"baseline,s20_mk2_mK2,s20_f4",3,true,,false,10000,15,true,7353,2,false,10000,15,false,10000,15
ac19_20270,YYXXXYxx,YYYXXXyxyyxyx,1,27180,"baseline,s20_mk2,s20_mk2_mK2,s20_f4",4,true,,false,10000,19,false,10000,19,false,10000,19,false,10000,19
ac19_20375,YYXXXXXXyX,YYYXXXXyXyX,3,27333 28368 148711,"baseline,s20_f4",2,true,,false,10000,15,true,413,2,true,345,2,false,10000,14
ac19_20454,YYXXXYX,YYXyxxYxyXXX,1,27461,baseline,1,true,,false,10000,17,true,970,2,true,8208,2,true,854,2
ac19_20613,YYXXyxx,YYYxxYxxYXXX,2,27709 108098,s20_f4,1,true,,true,425,2,true,7564,2,true,4576,2,false,10000,19
ac19_20653,YXXyXyx,YYXyxYYxxyx,1,27765,"baseline,s20_mk2_mK2,s20_f4",3,true,,false,10000,14,true,3177,2,false,10000,14,false,10000,14
ac19_20684,YXYXXXX,YYXyyXXYx,3,27814 66814 142711,s20_mk2_mK2,1,true,,true,3660,2,true,553,2,false,10000,15,true,46,2
ac19_20708,YYXXXyX,YYXXyXyxx,5,27858 37391 72364 112945 125993,"baseline,s20_f4",2,true,,false,10000,15,true,2872,2,true,3944,2,false,10000,15
