pres_id,bin,aut_class,start_length,r1,r2,b1k_greedy_solved,b1k_greedy_nodes,b1k_greedy_path,b1k_heur_solved,b1k_heur_nodes,b1k_heur_path,bestcov_z,bestcov_iso_gen,bestcov_iso_index,bestcov_class,bestcov_cap,bestcov_r1,bestcov_r2,bestcov_n_tied_starts,bestcov_prio,b1k_covgreedy_solved,b1k_covgreedy_nodes,b1k_covgreedy_path,b1k_covheur_solved,b1k_covheur_nodes,b1k_covheur_path,hsel_z,hsel_iso_gen,hsel_iso_index,hsel_class,hsel_cap,hsel_r1,hsel_r2,hsel_n_tied_starts,hsel_n_candidates,hsel_prio,same_as_bestcov,hsel_covgreedy_solved,hsel_covgreedy_nodes,hsel_covgreedy_path,hsel_covheur_solved,hsel_covheur_nodes,hsel_covheur_path
538,5,81,18,YYYYYXyyyyx,YYxYxYX,false,1000,,true,531,32,Xyyy,x,0,relabel,27,XXXYxxxYXyx,YXXXXXyxxxx,3,64.15763636363636,true,13,12,true,14,12,Xyyxy,x,1,,27,XXXXXYxxxxy,YYxxyx,5,85,51.88402941176471,false,true,608,23,true,483,29
543,5,88,19,YYYYYXyyyyx,YYYYXYxx,false,1000,,true,160,52,Xyx,x,1,relabel,35,XXXXXXXXXYxxxxyxxxx,YXXXXYxyxxxx,1,73.59206451612903,true,118,42,true,56,32,yyXY,x,0,,27,XyXYYXXX,YxxxxxyXXXX,3,85,54.08786842105263,false,false,1000,,true,162,52
544,5,74,19,YYYYYXyyyyx,YYYxyXYx,false,1000,,true,160,48,xYXy,x,1,relabel,31,XXXXXXXYxxxxyxx,YxyXY,2,55.1745,true,117,41,true,55,31,yXYx,x,1,,27,XXXXXyxxxxY,YxyXY,2,89,50.763,false,true,121,41,true,55,31
546,4,85,19,YYYYYXyyyyx,YYXYYxYx,true,398,24,true,111,23,Xyyyy,x,0,relabel,37,XXXXXXXyXXYxxxxYxxxxx,YXXXXXyxxxx,1,74.62525,true,15,12,true,12,10,yyyXY,x,0,,27,yXXYYXX,YxxxxxyXXXX,5,90,52.99161111111111,false,true,297,21,true,99,20
548,4,82,19,YYYYYXyyyyx,YYxYYxyX,true,661,28,true,496,34,Xyyy,x,0,relabel,27,XXXYxxYxyx,YXXXXXyxxxx,4,63.08638095238095,true,13,12,true,13,12,xYXyy,x,1,,27,XXXXXYxxxxy,YxxyXY,4,91,51.88402941176471,false,true,59,15,true,130,19
549,5,84,19,YYYYYXyyyyx,YYYxYxYX,false,1000,,true,137,47,Xyyy,x,0,moved,27,YXXYXyx,YXXXXXyxxxx,1,59.82511111111111,true,226,54,true,90,36,yyyXY,x,0,,27,YYXyXXX,YxxxxxyXXXX,6,89,52.99161111111111,false,false,1000,,true,136,44
565,5,87,20,YYYYYYXyyyyyx,YYxyXYx,false,1000,,true,422,99,xYXy,x,1,relabel,31,XXXXXXXYxxxxxyx,YxyXY,2,55.1745,true,615,99,true,278,83,yXYx,x,1,,29,XXXXXXyxxxxxY,YxyXY,2,109,52.99161111111111,false,true,626,99,true,281,83
568,7,93,20,YYYYYYXyyyyyx,YYXYXyx,false,1000,,false,1000,,XYxy,x,1,relabel,29,XXXXyxxxxxYXX,YxxyXYX,2,62.008,false,1000,,false,1000,,xyxyy,x,1,,29,XXXXXXYxxxxxy,YXyyxx,7,108,54.08786842105263,false,false,1000,,false,1000,
573,6,98,21,YYYYYYXyyyyyx,YYYYXYxx,false,1000,,false,1000,,Xyyy,x,0,relabel,40,XXXXXXXXXXyXYxxxxYxxxxxx,YXXXXXXyxxxxx,5,79.76427027027027,false,1000,,false,1000,,yyXY,x,0,,29,yXYYXXXX,YxxxxxxyXXXXX,4,109,56.25288095238095,false,false,1000,,false,1000,
575,6,87,21,YYYYYYXyyyyyx,YYYxyXYx,false,1000,,true,422,102,xYXy,x,1,relabel,33,XXXXXXXXYxxxxxyxx,YxyXY,2,57.32413636363636,true,615,99,true,278,83,yXYx,x,1,,29,XXXXXXyxxxxxY,YxyXY,2,113,52.99161111111111,false,true,626,99,true,281,83
578,7,93,21,YYYYYYXyyyyyx,YYXYYXyx,false,1000,,false,1000,,XYxy,x,1,relabel,29,XXXXyxxxxxYXX,YxxyXYX,2,62.008,false,1000,,false,1000,,xyy,x,1,,27,XXXXYxxxxyy,YXyyxx,1,115,53.61123529411765,false,false,1000,,false,1000,
579,3,100,21,YYYYYYXyyyyyx,YYYXYYxx,true,366,26,true,101,25,Xyyy,x,0,relabel,40,XXXXXXXXXyXXYxxxxYxxxxxx,YXXXXXXyxxxxx,5,79.76427027027027,true,11,10,true,12,11,yyyXYY,x,0,,29,yXXYYXXX,YxxxxxxyXXXXX,3,109,56.25288095238095,false,true,374,29,true,102,25
580,4,101,21,YYYYYYXyyyyyx,YYYxxYYX,true,875,47,true,252,42,Xyyyyy,x,0,relabel,30,XXXYxxxxxxYXXy,YXXXXXXyxxxxx,1,69.43474074074074,true,25,17,true,22,17,yyyXYY,x,0,,29,YYXXyXXX,YxxxxxxyXXXXX,3,109,56.25288095238095,false,true,862,47,true,246,43
581,6,99,21,YYYYYYXyyyyyx,YYYYxxYX,false,1000,,true,385,99,Xyyyyy,x,0,relabel,30,XXXXYxxxxxxYXy,YXXXXXXyxxxxx,1,69.43474074074074,true,632,100,true,280,84,yyXY,x,0,,29,YYXyXXXX,YxxxxxxyXXXXX,4,109,56.25288095238095,false,false,1000,,true,384,99
583,7,93,21,YYYYYYXyyyyyx,YYXyxYYx,false,1000,,false,1000,,XYxy,x,1,relabel,31,XXXXXXXYxxxxxyx,YXYXyxx,2,64.15763636363636,false,1000,,false,1000,,yyX,x,1,,27,YXXXXyyxxxx,YxxyyX,1,116,53.61123529411765,false,false,1000,,false,1000,
586,6,99,21,YYYYYYXyyyyyx,YYYYxYXX,false,1000,,true,388,99,yyyyyx,x,0,relabel,30,XXXXyXYxxxxxxY,YxxxxxyXXXXXX,1,69.43474074074074,true,616,100,true,279,84,yyXY,x,0,,29,YXyyXXXX,YxxxxxxyXXXXX,4,109,56.25288095238095,false,false,1000,,true,386,99
