pres_id,bin,aut_class,n_cand,n_solving_cand,oracle,greedy_b1k,abel_solved,abel_first_solve,abel_deployed,abel_len_lex_solved,abel_len_lex_first_solve,abel_len_lex_deployed,len_only_solved,len_only_first_solve,len_only_deployed,abel_mean_len_solved,abel_mean_len_first_solve,abel_mean_len_deployed,abel_len_mean_solved,abel_len_mean_first_solve,abel_len_mean_deployed,abel_min_len_solved,abel_min_len_first_solve,abel_min_len_deployed,abel_len_min_solved,abel_len_min_first_solve,abel_len_min_deployed,abel_min_solved,abel_min_first_solve,abel_min_deployed,abel_S_len_solved,abel_S_len_first_solve,abel_S_len_deployed,abel_len_S_solved,abel_len_S_first_solve,abel_len_S_deployed,abel_S_solved,abel_S_first_solve,abel_S_deployed,S_only_solved,S_only_first_solve,S_only_deployed,abel_s20mk2_solved,abel_s20mk2_first_solve,abel_s20mk2_deployed,abel_len_s20mk2_solved,abel_len_s20mk2_first_solve,abel_len_s20mk2_deployed,s20mk2_only_solved,s20mk2_only_first_solve,s20mk2_only_deployed
327,3,66,58,46,1,1,1,97,97,1,97,97,1,270,270,1,97,97,1,97,97,1,97,97,1,97,97,1,97,97,1,97,97,1,97,97,1,97,97,1,331,331,1,97,97,1,97,97,1,102,102
333,3,54,65,65,1,1,1,67,67,1,22,22,1,22,22,1,22,22,1,22,22,1,22,22,1,22,22,1,24,24,1,22,22,1,22,22,1,67,67,1,106,106,1,22,22,1,22,22,1,106,106
380,3,77,63,53,1,1,1,22,22,1,22,22,1,22,22,1,22,22,1,22,22,1,22,22,1,22,22,1,22,22,1,106,106,1,22,22,1,106,106,1,335,335,1,22,22,1,22,22,1,105,105
546,4,85,90,78,1,1,1,15,15,1,15,15,1,285,285,1,15,15,1,15,15,1,15,15,1,15,15,1,15,15,1,15,15,1,15,15,1,15,15,1,547,547,1,15,15,1,15,15,1,92,92
548,4,82,91,52,1,1,1,16,16,1,16,16,1,1059,1059,1,16,16,1,16,16,1,16,16,1,16,16,1,16,16,1,16,16,1,16,16,1,16,16,1,200,200,1,16,16,1,16,16,1,200,200
533,4,69,69,60,1,1,1,25,25,1,1025,1025,1,272,272,1,25,25,1,25,25,1,23,23,1,25,25,1,23,23,1,25,25,1,25,25,1,25,25,1,343,343,1,25,25,1,25,25,1,197,197
589,4,94,113,104,1,1,1,13,13,1,13,13,1,188,188,1,13,13,1,13,13,1,13,13,1,13,13,1,13,13,1,13,13,1,13,13,1,13,13,1,383,383,1,13,13,1,13,13,1,146,146
580,4,101,109,64,1,1,1,106,106,1,106,106,1,862,862,1,106,106,1,106,106,1,106,106,1,106,106,1,106,106,1,106,106,1,106,106,1,106,106,0,,3000,1,106,106,1,106,106,1,160,160
609,4,104,140,59,1,0,1,37,37,1,110,110,1,402,402,1,110,110,1,110,110,1,110,110,1,110,110,1,110,110,1,110,110,1,110,110,1,37,37,1,2110,2110,1,110,110,1,110,110,1,1131,1131
538,5,81,85,35,1,0,1,13,13,1,13,13,1,618,618,1,13,13,1,13,13,1,13,13,1,13,13,1,13,13,1,13,13,1,13,13,1,13,13,1,2073,2073,1,13,13,1,13,13,1,168,168
606,5,107,138,56,1,0,1,19,19,1,19,19,1,753,753,1,19,19,1,19,19,1,19,19,1,19,19,1,19,19,1,19,19,1,19,19,1,19,19,0,,3000,1,19,19,1,19,19,1,444,444
544,5,74,89,40,1,0,1,296,296,1,121,121,1,121,121,1,121,121,1,121,121,1,121,121,1,121,121,1,117,117,1,121,121,1,121,121,1,296,296,1,452,452,1,121,121,1,121,121,1,508,508
549,5,84,89,12,1,0,1,297,297,1,297,297,1,1226,1226,1,297,297,1,297,297,1,297,297,1,297,297,1,297,297,1,297,297,1,297,297,1,297,297,0,,3000,1,297,297,1,297,297,1,226,226
543,5,88,85,19,1,0,1,296,296,1,296,296,1,506,506,1,296,296,1,296,296,1,296,296,1,296,296,1,296,296,1,296,296,1,296,296,1,296,296,1,1494,1494,1,296,296,1,296,296,1,506,506
565,5,87,109,11,1,0,1,1626,1626,1,626,626,1,626,626,1,626,626,1,626,626,1,626,626,1,626,626,1,615,615,1,626,626,1,626,626,1,1626,1626,0,,3000,1,626,626,1,626,626,0,,3000
602,6,103,134,38,1,0,1,37,37,1,37,37,0,,3000,1,37,37,1,37,37,1,37,37,1,37,37,1,37,37,1,37,37,1,37,37,1,37,37,0,,3000,1,37,37,1,37,37,0,,3000
