name,r1,r2,n_members,members,nodes_explored,min_relator_length
ac19_55823,YXYXyx,YYYxyXXXyxyxx,2,104333 129581,201,2
ac19_55826,YYXXX,YYXyxyxxxYXyyX,1,104338,11,2
ac19_55828,YYXXYxYXyyx,YYXXYxYXXYx,1,104341,10,2
ac19_55829,YXyXXYxyx,YYXXyxxYxyx,1,104342,11,2
ac19_55830,YXyXXyX,YYYXyXYxxyyxxx,1,104347,28,2
ac19_55831,YYXXXYXyx,YYXXyxYXyx,1,104349,7,2
ac19_55835,YXX,YYYYYYXyyyXyyyx,1,104365,25,2
ac19_55836,YXXyXyxx,YYxyXXyxyXX,1,104370,78,2
ac19_55840,YXYXYx,YYYXyXXXYxxYx,1,104379,49,2
ac19_55842,YYXXyx,YYYXXXXXXyxxx,1,104383,23,2
ac19_55844,YYXXXXYYx,YYXXXYYxxyX,1,104386,17,2
ac19_55845,YXYXyx,YYXYxYXyXyyXyxx,2,104387 120721,283,2
ac19_55847,YYXXYx,YYXyxYXYxYYXX,1,104403,15,2
ac19_55848,YYXXYxyxx,YYXXYxxxx,2,104404 120164,9,2
ac19_55849,YYXXyx,YYXXyyxxyxxyx,1,104405,8,2
ac19_55850,YYXXXXX,YYxYXXXXyXyxx,1,104406,19,2
ac19_55851,YXXYx,YYXYXyyXyxYxx,2,104410 150518,15,2
ac19_55852,YYXXX,YYXYxxyXyyXXYx,1,104411,21,2
ac19_55854,YXXX,YYYXYxyxyXyyX,1,104422,12,2
ac19_55857,YXXyXXYxxyx,YYxxyxxxYxxyx,1,104426,17,2
ac19_55858,YYXXYx,YYXYxYXyyxxyX,1,104427,16,2
ac19_55859,YXYXX,YYXyXyXXXYXYxYx,1,104428,6,2
ac19_55860,YXYXX,YYXyXXyxYYxyX,2,104429 112921,17,2
ac19_55861,YYXXXyxx,YYXyyXXYxYX,1,104433,10,2
ac19_55863,YXXyXyXX,YYXXyxxxyXX,1,104441,75,2
ac19_55864,YXX,YYYYXXyXyyyxYx,1,104443,9,2
