orbit_id,parent_class
orb_0411,aca_121
orb_0412,aca_119
orb_0413,aca_51
orb_0414,sol_070
orb_0414,sol_074
orb_0415,aca_43
orb_0416,aca_25
orb_0417,aca_50
orb_0418,aca_47
orb_0419,aca_21
orb_0420,aca_9
orb_0421,aca_23
orb_0422,aca_46
orb_0423,aca_49
orb_0424,aca_22
orb_0425,aca_45
orb_0426,aca_52
orb_0427,sol_071
orb_0427,sol_075
orb_0428,sol_083
orb_0429,sol_011
orb_0430,sol_012
orb_0431,sol_062
orb_0432,aca_53
orb_0433,aca_0
orb_0434,sol_074
orb_0435,sol_075
orb_0436,sol_083
orb_0437,sol_080
orb_0438,aca_19
orb_0439,aca_19
orb_0440,aca_41
orb_0441,aca_31
orb_0442,aca_3
orb_0443,sol_080
orb_0444,sol_010
orb_0444,sol_094
orb_0445,sol_097
orb_0446,sol_093
orb_0447,sol_095
orb_0448,sol_095
orb_0449,sol_093
orb_0450,sol_100
orb_0451,sol_096
orb_0452,sol_105
orb_0453,aca_32
orb_0454,aca_54
orb_0455,aca_37
orb_0456,aca_5
orb_0457,sol_036
orb_0458,sol_054
orb_0458,sol_104
orb_0458,sol_110
orb_0459,aca_11
orb_0460,aca_1
orb_0461,sol_044
orb_0462,sol_049
orb_0462,sol_054
orb_0462,sol_104
orb_0462,sol_110
orb_0463,aca_56
orb_0464,aca_57
orb_0465,aca_44
orb_0466,aca_44
orb_0467,aca_38
orb_0468,sol_107
orb_0469,sol_109
orb_0470,sol_093
orb_0471,sol_101
orb_0472,sol_027
orb_0473,aca_22
orb_0474,aca_23
orb_0475,aca_22
orb_0476,aca_23
orb_0477,aca_32
orb_0478,sol_025
orb_0478,sol_093
orb_0479,aca_25
orb_0480,aca_21
orb_0481,sol_041
orb_0482,aca_25
orb_0483,aca_21
orb_0484,aca_14
orb_0485,aca_54
orb_0486,sol_052
orb_0487,aca_6
orb_0488,sol_086
orb_0489,sol_006
orb_0490,sol_007
orb_0491,sol_021
orb_0492,sol_023
orb_0493,aca_23
orb_0494,aca_25
orb_0495,sol_106
orb_0496,aca_22
orb_0497,aca_21
orb_0498,aca_18
orb_0499,aca_19
orb_0500,aca_19
orb_0501,aca_20
orb_0502,aca_58
orb_0503,aca_71
orb_0504,aca_60
orb_0505,aca_123
orb_0506,aca_72
orb_0507,aca_59
orb_0508,aca_61
orb_0509,sol_053
orb_0510,sol_012
orb_0511,aca_116
orb_0512,sol_084
orb_0513,sol_085
orb_0514,aca_117
orb_0515,aca_117
orb_0516,aca_116
orb_0517,sol_094
orb_0518,sol_027
orb_0519,sol_022
orb_0519,sol_027
orb_0520,sol_023
orb_0521,sol_036
orb_0521,sol_043
orb_0522,aca_5
orb_0523,sol_036
orb_0523,sol_043
orb_0524,sol_104
orb_0525,aca_29
orb_0526,sol_094
orb_0527,aca_118
orb_0528,sol_100
orb_0529,sol_111
orb_0530,sol_053
orb_0530,sol_105
orb_0531,sol_012
orb_0532,aca_31
orb_0533,aca_3
orb_0534,aca_119
orb_0535,aca_2
orb_0536,aca_80
orb_0537,sol_038
orb_0538,aca_120
orb_0539,aca_121
orb_0540,sol_041
orb_0541,aca_15
orb_0542,aca_26
orb_0543,aca_28
orb_0544,aca_27
orb_0545,aca_120
orb_0546,aca_121
orb_0547,aca_18
orb_0548,aca_121
orb_0549,aca_120
orb_0550,aca_17
orb_0551,aca_120
orb_0552,aca_121
orb_0553,aca_62
orb_0554,aca_34
orb_0555,aca_34
orb_0556,aca_34
orb_0557,aca_34
orb_0558,sol_037
orb_0558,sol_044
orb_0559,aca_35
orb_0560,aca_38
orb_0561,aca_4
orb_0562,aca_42
orb_0563,aca_65
orb_0564,aca_63
orb_0565,aca_40
orb_0566,aca_75
orb_0567,aca_76
orb_0568,aca_10
orb_0569,aca_11
orb_0570,aca_122
orb_0571,aca_122
orb_0572,aca_122
orb_0573,aca_122
orb_0574,aca_8
orb_0575,aca_8
orb_0576,sol_038
orb_0577,aca_37
orb_0578,aca_95
orb_0579,aca_50
orb_0580,aca_73
orb_0581,aca_69
orb_0582,aca_47
orb_0583,aca_46
orb_0584,aca_68
orb_0585,aca_70
orb_0586,aca_49
orb_0587,aca_77
orb_0588,aca_78
orb_0589,aca_74
orb_0590,sol_012
orb_0591,sol_013
orb_0592,aca_16
orb_0593,aca_59
orb_0594,aca_79
orb_0595,aca_79
orb_0596,aca_41
orb_0597,aca_41
orb_0598,aca_64
orb_0599,sol_039
orb_0600,aca_6
orb_0601,aca_79
orb_0602,sol_025
orb_0602,sol_093
orb_0603,sol_011
orb_0603,sol_095
orb_0604,aca_7
orb_0605,sol_098
orb_0606,sol_010
orb_0606,sol_039
orb_0606,sol_094
orb_0607,aca_37
orb_0608,aca_43
orb_0609,aca_66
orb_0610,aca_37
orb_0611,sol_037
orb_0612,sol_102
orb_0612,sol_108
orb_0613,sol_053
orb_0613,sol_105
orb_0614,sol_102
orb_0614,sol_108
orb_0615,sol_022
orb_0616,aca_44
orb_0617,aca_38
orb_0618,aca_67
orb_0619,aca_38
orb_0620,aca_56
orb_0621,aca_57
orb_0622,aca_56
orb_0623,aca_57
orb_0624,aca_55
orb_0625,aca_79
orb_0626,sol_092
orb_0627,sol_095
orb_0628,sol_098
orb_0629,sol_101
orb_0630,aca_36
orb_0631,sol_025
orb_0632,aca_49
orb_0633,aca_46
orb_0634,aca_49
orb_0635,aca_46
orb_0636,aca_32
orb_0637,sol_111
orb_0638,aca_50
orb_0639,aca_47
orb_0640,aca_118
orb_0641,aca_50
orb_0642,aca_47
orb_0643,aca_12
orb_0644,aca_14
orb_0645,aca_78
orb_0646,aca_2
orb_0647,aca_78
orb_0648,aca_78
orb_0649,aca_43
orb_0650,sol_051
orb_0651,sol_038
orb_0652,aca_10
orb_0653,aca_56
orb_0654,sol_005
orb_0655,sol_096
orb_0656,aca_17
orb_0657,aca_20
orb_0658,aca_21
orb_0659,aca_27
orb_0660,aca_22
orb_0661,aca_28
orb_0662,aca_26
orb_0663,aca_26
orb_0664,aca_15
orb_0665,aca_25
orb_0666,aca_28
orb_0667,aca_17
orb_0668,aca_15
orb_0669,aca_27
orb_0670,aca_23
orb_0671,aca_18
orb_0672,aca_81
orb_0673,aca_67
orb_0674,aca_100
orb_0675,aca_75
orb_0676,aca_84
orb_0677,aca_85
orb_0678,sol_100
orb_0679,aca_66
orb_0680,aca_99
orb_0681,aca_83
orb_0682,sol_052
orb_0683,sol_013
orb_0684,aca_120
orb_0685,sol_112
orb_0686,sol_009
orb_0687,aca_121
orb_0688,sol_022
orb_0689,sol_104
orb_0690,sol_011
orb_0691,sol_053
orb_0692,sol_025
orb_0693,sol_100
orb_0694,sol_097
orb_0695,aca_80
orb_0696,sol_097
orb_0697,sol_037
orb_0697,sol_044
orb_0698,aca_55
orb_0699,aca_5
orb_0700,sol_108
orb_0701,sol_037
orb_0701,sol_044
orb_0702,aca_33
orb_0703,sol_102
orb_0703,sol_108
orb_0704,aca_80
orb_0705,sol_090
orb_0706,aca_9
orb_0707,sol_091
orb_0708,sol_052
orb_0709,aca_43
orb_0710,aca_43
orb_0711,sol_101
orb_0712,sol_009
orb_0713,aca_86
orb_0714,aca_82
orb_0715,sol_013
orb_0716,aca_0
orb_0717,aca_6
orb_0718,sol_049
orb_0719,sol_049
orb_0720,aca_42
orb_0721,aca_32
orb_0722,sol_092
orb_0722,sol_098
orb_0723,aca_22
orb_0724,aca_21
orb_0725,aca_17
orb_0726,aca_94
orb_0727,aca_58
orb_0728,aca_58
orb_0729,aca_58
orb_0730,aca_58
orb_0731,aca_90
orb_0732,aca_88
orb_0733,aca_65
orb_0734,aca_91
orb_0735,aca_93
orb_0736,aca_63
orb_0737,aca_84
orb_0738,aca_123
orb_0739,aca_123
orb_0740,aca_123
orb_0741,aca_123
orb_0742,aca_0
orb_0743,aca_87
orb_0744,aca_73
orb_0745,aca_96
orb_0746,aca_69
orb_0747,aca_68
orb_0748,aca_89
orb_0749,aca_70
orb_0750,aca_83
orb_0751,sol_013
orb_0752,aca_64
orb_0753,aca_64
orb_0754,aca_92
orb_0755,sol_092
orb_0756,sol_043
orb_0757,sol_105
orb_0758,aca_32
orb_0759,sol_053
orb_0759,sol_105
orb_0760,sol_036
orb_0760,sol_043
orb_0761,aca_10
orb_0762,aca_72
orb_0763,aca_66
orb_0764,aca_87
orb_0765,aca_66
orb_0766,sol_103
orb_0766,sol_109
orb_0767,sol_107
orb_0768,sol_103
orb_0768,sol_109
orb_0769,aca_95
orb_0770,aca_95
orb_0771,aca_88
orb_0772,aca_88
orb_0773,aca_71
orb_0774,aca_67
orb_0775,aca_90
orb_0776,aca_67
orb_0777,aca_70
orb_0778,aca_68
orb_0779,aca_70
orb_0780,aca_68
orb_0781,sol_102
orb_0782,sol_039
orb_0783,aca_78
orb_0784,aca_53
orb_0785,aca_73
orb_0786,aca_69
orb_0787,sol_097
orb_0788,aca_73
orb_0789,aca_69
orb_0790,aca_53
orb_0791,aca_2
orb_0792,sol_108
orb_0793,aca_6
orb_0794,sol_106
orb_0795,aca_8
orb_0796,aca_28
orb_0797,aca_26
orb_0798,aca_15
orb_0799,aca_27
orb_0800,aca_56
orb_0801,sol_104
orb_0802,sol_022
orb_0803,aca_46
orb_0804,aca_50
orb_0805,aca_38
orb_0806,aca_37
orb_0807,aca_49
orb_0808,aca_47
orb_0809,aca_40
orb_0810,aca_41
orb_0811,aca_38
orb_0812,aca_37
orb_0813,aca_41
orb_0814,aca_42
orb_0815,aca_25
orb_0816,aca_23
orb_0817,aca_97
orb_0818,aca_106
orb_0819,aca_98
orb_0820,aca_105
orb_0821,aca_15
orb_0822,aca_120
orb_0823,aca_121
orb_0824,sol_051
orb_0825,aca_120
orb_0826,aca_121
orb_0827,aca_34
orb_0828,aca_18
orb_0829,aca_26
orb_0830,sol_023
orb_0831,aca_12
orb_0832,aca_10
orb_0833,aca_11
orb_0834,aca_122
orb_0835,sol_095
orb_0836,sol_093
orb_0837,sol_012
orb_0838,sol_107
orb_0839,sol_052
orb_0840,aca_54
orb_0841,aca_80
orb_0842,sol_025
orb_0842,sol_093
orb_0843,aca_33
orb_0844,aca_59
orb_0845,sol_103
orb_0846,aca_45
orb_0847,sol_065
orb_0848,sol_066
orb_0849,sol_109
orb_0850,sol_051
orb_0851,sol_107
orb_0852,aca_48
orb_0853,sol_094
orb_0854,aca_79
orb_0855,aca_34
orb_0856,aca_122
orb_0857,sol_039
orb_0858,aca_51
orb_0859,aca_52
orb_0860,aca_34
orb_0861,aca_122
orb_0862,aca_40
orb_0863,aca_122
orb_0864,aca_34
orb_0865,aca_39
orb_0866,aca_34
orb_0867,aca_122
orb_0868,aca_19
orb_0869,aca_21
orb_0870,aca_22
orb_0871,aca_25
orb_0872,aca_19
orb_0873,aca_23
orb_0874,aca_101
orb_0875,aca_81
orb_0876,aca_81
orb_0877,aca_81
orb_0878,aca_81
orb_0879,aca_1
orb_0880,aca_91
orb_0881,aca_104
orb_0882,aca_102
orb_0883,aca_93
orb_0884,aca_85
orb_0885,aca_85
orb_0886,aca_85
orb_0887,aca_85
orb_0888,aca_27
orb_0889,aca_15
orb_0890,sol_094
orb_0891,aca_0
orb_0892,aca_0
orb_0893,aca_113
orb_0894,aca_110
orb_0895,aca_96
orb_0896,aca_112
orb_0897,aca_109
orb_0898,aca_118
orb_0899,aca_89
orb_0900,aca_108
orb_0901,aca_111
orb_0902,aca_24
orb_0903,aca_16
orb_0904,aca_114
orb_0905,aca_107
orb_0906,aca_15
orb_0907,aca_26
orb_0908,aca_18
orb_0909,aca_72
orb_0910,sol_111
orb_0911,aca_92
orb_0912,aca_92
orb_0913,aca_103
orb_0914,sol_012
orb_0915,sol_036
orb_0916,sol_052
orb_0917,aca_54
orb_0918,sol_093
orb_0919,sol_011
orb_0919,sol_095
orb_0920,sol_092
orb_0920,sol_098
orb_0921,sol_107
orb_0922,sol_092
orb_0922,sol_098
orb_0923,aca_87
orb_0924,aca_95
orb_0925,aca_99
orb_0926,aca_105
orb_0927,aca_87
orb_0928,aca_37
orb_0929,aca_95
orb_0930,aca_13
orb_0931,aca_88
orb_0932,aca_100
orb_0933,aca_90
orb_0934,aca_100
orb_0935,aca_106
orb_0936,aca_90
orb_0937,aca_57
orb_0938,aca_57
orb_0939,sol_044
orb_0940,aca_89
orb_0941,aca_89
orb_0942,aca_38
orb_0943,aca_96
orb_0944,aca_119
orb_0945,aca_96
orb_0946,aca_72
orb_0947,aca_51
orb_0948,aca_52
orb_0949,aca_8
orb_0950,sol_006
orb_0951,sol_094
orb_0952,aca_39
orb_0953,aca_42
orb_0954,sol_097
orb_0955,aca_47
orb_0956,aca_52
orb_0957,aca_49
orb_0958,aca_51
orb_0959,aca_37
orb_0960,aca_38
orb_0961,aca_50
orb_0962,aca_51
orb_0963,aca_39
orb_0964,aca_52
orb_0965,aca_46
orb_0966,aca_40
orb_0967,aca_37
orb_0968,aca_38
orb_0969,aca_32
orb_0970,aca_58
