name,r1,r2,n_members,members,nodes_explored,min_relator_length
ac19_48969,YXYXyx,YYXyxyXXXyyxYxx,1,85896,536,2
ac19_49036,YXYXyx,YYYXYxyXyyyXXYx,1,86053,718,2
ac19_49102,YXyXXXyx,YYXyXYxyxYxyxyX,2,86229 96274,619,2
ac19_49334,YXYXyx,YYXXXyXXXYxxx,2,86815 138987,565,2
ac19_49404,YXYXyx,YYYYYxyXXXX,3,86986 121672 135793,843,2
ac19_49437,YXYXyx,YYXYYxYXyXyXX,2,87055 127782,583,2
ac19_49750,YXXYx,YYYXyyyXyyxyxYYx,1,87844,621,2
ac19_50033,YXyXYxx,YYXYxYYXYxyX,2,88645 119561,662,2
ac19_50255,YXyXXXyx,YYXyXYxyxYxxyyX,2,89194 104570,748,2
ac19_50262,YYXXXyXYXyX,YXXyxYXXyxx,1,89208,556,2
ac19_50316,YXYXyx,YYYYYXXXXXYXX,2,89308 141475,972,2
ac19_50365,YXXYx,YYXYxyxxYXXyyX,1,89411,607,2
ac19_50391,YXyXXyx,YYXXYxyxxxx,1,89464,743,2
ac19_50461,YXXYx,YYYYXYXYXyyXYx,1,89633,610,2
ac19_50526,YXyXXyx,YYYxyxyxYYxx,2,89820 90940,623,2
ac19_50607,YXXXyxx,YYYXyXYxyyxx,1,90023,789,2
ac19_51023,YXYXyx,YYXYxyyXyyXyxxx,2,91068 120637,754,2
ac19_51157,YXYXyx,YYYxYXyXXXYXX,2,91419 154694,672,2
ac19_51171,YXyXXyx,YYYxyyxxYxx,2,91456 135204,684,2
ac19_51280,YXYXyx,YYXYxxyXXyXXyxYxx,2,91747 118001,761,2
ac19_51366,YXyXXyx,YYXyXYxYXyxyxyX,2,92015 92932,645,2
ac19_51418,YXXYx,YYYxyXYXYYXyyx,1,92143,962,2
ac19_51506,YXXXyxx,YYXyyxYxyyxx,1,92369,646,2
ac19_51735,YXYXyx,YYxyXXyyXXyxYxx,2,92996 109921,688,2
ac19_51936,YXYXyx,YYYXXyyXXyxxx,2,93494 107449,764,2
ac19_52096,YXYXyx,YYXyXXyXyxxxx,1,93972,766,2
ac19_52114,YXYXyx,YYYXXyyyxYXyxxx,1,94025,836,2
ac19_52308,YXYXyx,YYXYxyXXXyXyxxx,1,94507,546,2
ac19_52393,YXYXyx,YYXXyXXXXYxYxyx,2,94736 138899,650,2
ac19_52412,YXYXyx,YYYXYxyyXXXyyxx,1,94795,593,2
ac19_52698,YXYXyx,YYXXyXXyyxYxx,1,95617,524,2
ac19_52705,YXYXyx,YYYxxYXYxyyXyyX,1,95632,548,2
ac19_53258,YXyXYxx,YYYXyyXyyxxx,3,97089 142090 148880,779,2
ac19_53342,YXyXYxx,YYYxYXYYXyxx,1,97333,652,2
ac19_53512,YXYXyx,YYYYXyxyyyXXXYx,2,97846 110598,696,2
ac19_53549,YXYXyx,YYXXyxyXXyXYYxx,2,97951 144501,592,2
ac19_53714,YXyXXyx,YYXXYxxyXyxyX,2,98421 114754,702,2
ac19_53935,YXYXyx,YYXXXyXXXYxYx,2,99045 140754,656,2
ac19_54001,YXYXyx,YYXyXXXXYxxYxyx,1,99203,916,2
ac19_54082,YXYXyx,YYXXyxyXXXYxYxx,2,99410 135701,663,2
ac19_54325,YXYXyx,YYXXXyXYXYYxx,2,100129 135040,623,2
ac19_54685,YXyXXyx,YYYXyXXXyxyxx,1,101136,507,2
ac19_54802,YXyXXXyx,YYXyyxxYx,3,101476 142935 154714,518,2
ac19_54846,YXYXyx,YYYXyxyyXXXYxYx,2,101604 139431,711,2
ac19_54922,YXYXyx,YYYXyxyXXyXYYxx,1,101842,655,2
ac19_54973,YXyXXXyX,YYXXXyyXyXX,1,101963,623,2
ac19_54988,YXyXXXyX,YYXXyxyxxYxyX,1,102006,629,2
ac19_55153,YXyXXyx,YYxxxyxYxyxYX,2,102433 137720,538,2
ac19_55280,YXyXXyX,YYXYxxxyyXXyx,1,102790,618,2
ac19_55283,YXYXyx,YYYYxyyXXXYXX,1,102806,841,2
ac19_55476,YXyXXXyx,YYXyxyxxYXXyx,2,103371 121137,913,2
ac19_55478,YXYXyx,YYXYYXyXXyyXyxYYx,2,103373 145830,551,2
ac19_55479,YXYXyx,YYXyXyXXyxxxx,1,103376,514,2
