name,arm,solved,nodes_explored,path_length,budget,max_relator_length
ac19_10224,greedy,1,57,16,10000,48
ac19_10225,greedy,1,12,10,10000,48
ac19_10226,greedy,1,11,10,10000,48
ac19_10227,greedy,1,117,42,10000,48
ac19_10228,greedy,1,12,11,10000,48
ac19_10229,greedy,1,667,58,10000,48
ac19_1023,greedy,1,25,10,10000,48
ac19_10230,greedy,1,14,9,10000,48
ac19_10231,greedy,1,4,3,10000,48
ac19_10232,greedy,1,36,22,10000,48
ac19_10233,greedy,1,9,8,10000,48
ac19_10234,greedy,1,177,44,10000,48
ac19_10235,greedy,1,1089,78,10000,48
ac19_10236,greedy,1,6,5,10000,48
ac19_10237,greedy,1,8,7,10000,48
ac19_10238,greedy,1,481,45,10000,48
ac19_10239,greedy,1,9,7,10000,48
ac19_1024,greedy,1,21,16,10000,48
ac19_10240,greedy,1,9,8,10000,48
ac19_10241,greedy,1,10,7,10000,48
ac19_10242,greedy,1,300,51,10000,48
ac19_10243,greedy,1,204,55,10000,48
ac19_10244,greedy,1,18,7,10000,48
ac19_10245,greedy,1,11,10,10000,48
ac19_10246,greedy,1,7,6,10000,48
ac19_10247,greedy,1,42,22,10000,48
ac19_10248,greedy,1,12,10,10000,48
ac19_10249,greedy,1,5,4,10000,48
ac19_1025,greedy,1,8,7,10000,48
ac19_10250,greedy,1,4,3,10000,48
ac19_10251,greedy,1,5,4,10000,48
ac19_10252,greedy,1,72,15,10000,48
ac19_10253,greedy,1,7,6,10000,48
ac19_10254,greedy,1,9,8,10000,48
ac19_10255,greedy,1,1974,169,10000,48
ac19_10256,greedy,1,16,14,10000,48
ac19_10257,greedy,1,9,7,10000,48
ac19_10258,greedy,1,15,13,10000,48
ac19_10259,greedy,1,118,37,10000,48
ac19_1026,greedy,1,24,10,10000,48
ac19_10260,greedy,1,10,8,10000,48
ac19_10261,greedy,1,5,4,10000,48
ac19_10262,greedy,1,4,3,10000,48
ac19_10263,greedy,1,10,9,10000,48
ac19_10264,greedy,1,9,8,10000,48
ac19_10265,greedy,1,15,14,10000,48
ac19_10266,greedy,1,6,5,10000,48
ac19_10267,greedy,1,5,4,10000,48
ac19_10268,greedy,1,28,18,10000,48
ac19_10269,greedy,1,10,9,10000,48
ac19_1027,greedy,1,13,10,10000,48
ac19_10270,greedy,1,1246,49,10000,48
ac19_10271,greedy,1,251,45,10000,48
ac19_10272,greedy,1,7,6,10000,48
ac19_10273,greedy,1,15,14,10000,48
ac19_10274,greedy,1,290,24,10000,48
ac19_10275,greedy,1,37,13,10000,48
ac19_10276,greedy,1,7,6,10000,48
ac19_10277,greedy,1,17,13,10000,48
ac19_10278,greedy,1,116,15,10000,48
ac19_10279,greedy,1,51,13,10000,48
ac19_1028,greedy,1,79,25,10000,48
ac19_10280,greedy,1,8,6,10000,48
ac19_10281,greedy,1,7,6,10000,48
ac19_10282,greedy,1,14,9,10000,48
ac19_10283,greedy,1,10,8,10000,48
ac19_10284,greedy,1,15,13,10000,48
ac19_10285,greedy,1,14,10,10000,48
ac19_10286,greedy,1,53,22,10000,48
ac19_10287,greedy,1,9,8,10000,48
ac19_10288,greedy,1,8,6,10000,48
ac19_10289,greedy,1,22,13,10000,48
ac19_1029,greedy,1,43,13,10000,48
ac19_10290,greedy,1,8,7,10000,48
ac19_10291,greedy,1,5,4,10000,48
ac19_10292,greedy,1,8588,171,10000,48
ac19_10293,greedy,1,18,13,10000,48
ac19_10294,greedy,1,4787,42,10000,48
ac19_10295,greedy,1,6,5,10000,48
ac19_10296,greedy,1,27,9,10000,48
ac19_10297,greedy,1,47,26,10000,48
ac19_10298,greedy,1,1114,78,10000,48
ac19_10299,greedy,1,177,40,10000,48
ac19_103,greedy,0,10000,,10000,48
ac19_1030,greedy,1,5,4,10000,48
ac19_10300,greedy,1,5,4,10000,48
ac19_10301,greedy,1,3552,12,10000,48
ac19_10302,greedy,1,771,102,10000,48
ac19_10303,greedy,1,11,10,10000,48
ac19_10304,greedy,1,7,6,10000,48
ac19_10305,greedy,1,10,9,10000,48
ac19_10306,greedy,1,9,8,10000,48
ac19_10307,greedy,1,13,11,10000,48
