name,kind,mu,short_relator,bin,bin_lo_nodes,bin_hi_nodes,baseline_nodes,baseline_solved,baseline_censored_at_100k,baseline_path,s12_solved,s12_nodes,s12_path,s28_solved,s28_nodes,s28_path,s20_mk2_solved,s20_mk2_nodes,s20_mk2_path,s24_k1_mk2_solved,s24_k1_mk2_nodes,s24_k1_mk2_path,difficulty_rank
orb_0486,moved_cov,19,False,1,10,34,32,True,False,20,True,66,24,True,127,33,True,124,39,True,133,41,169
orb_0134,seed,15,False,1,10,34,33,True,False,9,True,17,10,True,17,10,True,17,10,True,16,10,170
orb_0792,moved_cov,23,False,1,10,34,33,True,False,12,True,28,18,True,32,18,True,26,12,True,25,14,171
orb_0046,moved_cov,13,False,2,34,115,34,True,False,6,True,8,6,True,7,6,True,8,6,True,8,6,172
orb_0194,moved_cov,16,False,2,34,115,34,True,False,11,True,19,11,True,34,10,True,32,10,True,29,15,173
orb_1025,moved_cov,27,False,2,34,115,34,True,False,21,True,68,25,True,123,31,True,137,42,True,138,43,174
orb_0372,moved_cov,18,False,2,34,115,35,True,False,12,True,23,12,True,44,13,True,50,18,True,37,18,175
orb_0481,moved_cov,19,False,2,34,115,35,True,False,11,True,21,11,True,28,12,True,15,11,True,15,11,176
orb_0288,moved_cov,17,False,2,34,115,36,True,False,19,True,59,22,True,109,24,True,116,28,True,120,28,177
orb_0558,moved_cov,21,False,2,34,115,36,True,False,21,True,79,24,True,110,25,True,107,29,True,119,29,178
orb_0291,moved_cov,17,False,2,34,115,37,True,False,20,True,37,23,True,16,10,True,14,10,True,14,10,179
orb_0682,moved_cov,22,False,2,34,115,38,True,False,23,True,79,41,True,38,21,True,68,41,True,72,41,180
orb_0375,moved_cov,18,False,2,34,115,40,True,False,14,True,37,15,True,55,16,True,75,20,True,60,20,181
orb_1129,moved_cov,29,False,2,34,115,41,True,False,21,True,32,19,True,36,19,True,42,19,True,65,19,182
orb_0287,moved_cov,17,False,2,34,115,46,True,False,14,True,26,14,True,56,14,True,60,18,True,59,18,183
orb_0047,moved_cov,13,False,2,34,115,47,True,False,10,True,25,11,True,17,11,True,18,11,True,18,11,184
orb_0469,moved_cov,19,False,2,34,115,47,True,False,15,True,46,16,True,96,24,True,114,20,True,89,20,185
orb_0768,seed,23,False,2,34,115,48,True,False,16,True,47,17,True,95,23,True,115,21,True,90,21,186
orb_0491,moved_cov,20,False,2,34,115,50,True,False,11,True,13,11,True,27,15,True,44,19,True,33,19,187
orb_0976,moved_cov,26,False,2,34,115,50,True,False,16,True,46,17,True,29,14,True,104,21,True,88,22,188
orb_0436,moved_cov,19,False,2,34,115,51,True,False,17,True,15,13,True,15,13,True,14,13,True,14,13,189
orb_0509,moved_cov,20,False,2,34,115,51,True,False,29,True,36,25,True,36,25,True,33,25,True,33,25,190
orb_0296,moved_cov,17,False,2,34,115,53,True,False,14,True,27,14,True,31,14,True,72,18,True,63,18,191
orb_0383,moved_cov,19,False,2,34,115,53,True,False,16,True,27,16,True,33,13,True,33,13,True,48,20,192
orb_0169,moved_cov,15,False,2,34,115,54,True,False,14,True,26,14,True,72,27,True,37,12,True,30,16,193
orb_0523,seed,20,False,2,34,115,54,True,False,15,True,28,15,True,36,17,True,73,19,True,64,19,194
orb_0082,moved_cov,13,False,2,34,115,55,True,False,13,True,35,15,True,34,15,True,65,19,True,64,19,195
orb_0325,moved_cov,18,False,2,34,115,55,True,False,15,True,33,17,True,54,15,True,40,15,True,36,19,196
orb_0760,moved_cov,23,False,2,34,115,55,True,False,15,True,28,16,True,54,18,True,62,20,True,62,20,197
orb_0091,moved_cov,14,False,2,34,115,56,True,False,9,True,20,9,True,12,7,True,13,7,True,17,9,198
orb_0347,moved_cov,18,False,2,34,115,57,True,False,10,True,13,11,True,35,12,True,47,17,True,42,21,199
orb_0177,moved_cov,15,False,2,34,115,58,True,False,15,True,26,15,True,72,24,True,31,13,True,32,19,200
orb_0434,moved_cov,19,False,2,34,115,59,True,False,19,True,33,19,True,57,17,True,43,17,True,42,23,201
orb_0519,moved_cov,20,False,2,34,115,60,True,False,15,True,37,18,True,28,12,True,33,16,True,28,16,202
orb_0138,seed,15,False,2,34,115,61,True,False,11,True,19,12,True,49,10,True,19,12,True,19,12,203
orb_0193,moved_cov,16,False,2,34,115,61,True,False,19,True,32,19,True,70,17,True,41,17,True,40,23,204
orb_0184,moved_cov,15,False,2,34,115,62,True,False,14,True,38,16,True,39,16,True,63,20,True,64,20,205
orb_0079,moved_cov,13,False,2,34,115,63,True,False,13,True,24,13,True,29,11,True,29,11,True,30,17,206
